range_type,direction,observations,median,p75,p90,p95
ADR,LONG,50,44.941193641248034,63.91765267766955,88.1185120795456,90.82087450281972
ADR,SHORT,31,37.957136663502766,60.35825121339884,76.0664262005318,86.36207321860883
ODR,LONG,45,32.908033512153864,43.92097782831198,79.23752151630549,82.21692097998299
ODR,SHORT,43,43.38158305626473,67.68761878085448,72.06415521288542,83.7987955678642
RDR,LONG,55,46.94077972131488,66.48980714063612,91.26627633770102,94.69386167934935
RDR,SHORT,30,42.87206913839539,63.59016732335491,82.34892457523055,85.9422623171226
