direction,observations,median,mean,p75,p90,p95
LONG,150,39.287968607673875,44.84719000789894,64.38762158765397,84.77722920758131,92.75850083454878
SHORT,104,43.07647179011495,45.553066606227375,66.07488508626649,76.52119858356629,84.75410159459123
