threshold,count_at_or_below,percentage_at_or_below
10,12,4.724409448818897
20,39,15.354330708661418
30,88,34.645669291338585
40,126,49.60629921259843
50,151,59.4488188976378
60,177,69.68503937007874
70,209,82.28346456692913
80,225,88.58267716535433
90,238,93.7007874015748
