range_type,observations,median,mean,p75,p90,p95
ADR,137,73.37326142683462,67.74996712506163,100.0,100.0,100.0
ODR,148,70.77026469823637,65.37289191862088,100.0,100.0,100.0
RDR,160,94.17612635123618,72.54789955089471,100.0,100.0,100.0
