retracement_bin,count,percentage
0–10%,213,74.21602787456446
20–30%,19,6.620209059233449
10–20%,37,12.89198606271777
30–40%,6,2.0905923344947737
50–60%,4,1.3937282229965158
60–70%,2,0.6968641114982579
40–50%,4,1.3937282229965158
90–100%,1,0.34843205574912894
80–90%,1,0.34843205574912894
