range_type,observations,median,mean,p75,p90,p95
ADR,81,43.29553230438124,45.45364810041286,64.0330481921721,84.43245804253552,90.87817996352236
ODR,88,35.0869952426685,41.763500044953304,65.40376743733557,77.4127191923995,83.95502192823996
RDR,85,44.13285402976137,48.32545797815476,66.05678366966741,86.81398218714598,94.36972391495499
