range_type,extreme_type,observations,median_retracement,mean_retracement,median_retracement_percent,mean_retracement_percent
ADR,HOD,104,0.052728913202539904,0.11040430164926639,5.27289132025399,11.040430164926638
ADR,LOD,81,0.0427767039245564,0.0883508904829258,4.27767039245564,8.83508904829258
ODR,HOD,91,0.051927326295194,0.09376310708663661,5.1927326295194,9.376310708663661
ODR,LOD,96,0.03876905134601965,0.07511901401700438,3.876905134601965,7.511901401700438
RDR,HOD,92,0.041590046718057105,0.0737469610516334,4.159004671805711,7.37469610516334
RDR,LOD,72,0.0342717265376271,0.05236507238578872,3.42717265376271,5.236507238578872
