direction,start_time,deepest_time,start_price,deepest_price,deepest_retracement,end_time,retracement_percent
SHORT,2024-01-02 18:15:00,2024-01-02 18:15:00,16553.549,16553.549,0.04968895188595773,2024-01-02 18:20:00,4.9688951885957735
SHORT,2024-01-02 18:25:00,2024-01-02 18:25:00,16549.099,16549.099,0.01464682258443164,2024-01-02 18:35:00,1.464682258443164
SHORT,2024-01-02 18:40:00,2024-01-02 18:40:00,16547.599,16547.599,0.0028348688872899433,2024-01-02 18:45:00,0.2834868887289943
SHORT,2024-01-02 18:50:00,2024-01-02 19:00:00,16547.609,16549.299,0.01622174974405626,2024-01-02 19:00:00,1.6221749744056262
SHORT,2024-01-02 19:05:00,2024-01-02 19:25:00,16547.589,16552.839,0.04409796046931754,2024-01-02 19:35:00,4.4097960469317545
SHORT,2024-01-03 03:10:00,2024-01-03 03:20:00,16550.469,16552.889,0.044491692259216536,2024-01-03 03:20:00,4.449169225921653
