percentile,hod_sd,lod_sd
50.0,3.642095923940669,3.3429939296376094
75.0,9.466313654266829,8.813468370180864
80.0,10.97702449852438,10.629222025911336
85.0,13.902564428135939,12.951143749556772
90.0,16.268630008582267,17.141221373665747
95.0,24.800028404330146,26.076913752511544
97.5,31.960517109516836,37.192927753448906
99.0,40.4849947469849,49.86798134721311
100.0,79.35782808897656,74.16109873792954
