retracement_bin,count,percentage
0–<10%,12,4.724409448818897
10–<20%,27,10.62992125984252
20–<30%,49,19.291338582677163
30–<40%,38,14.960629921259844
40–<50%,25,9.84251968503937
50–<60%,26,10.236220472440944
60–<70%,32,12.598425196850393
70–<80%,16,6.299212598425196
80–<90%,13,5.118110236220472
90–<100%,16,6.299212598425196
