direction,observations,median_retracement,mean_retracement,max_retracement,median_percent,mean_percent,max_percent
LONG,316,0.43396855618595326,0.4957872787137456,1.0,43.396855618595325,49.57872787137456,100.0
SHORT,274,0.8404449285647388,0.5513100202988372,1.0,84.04449285647388,55.131002029883724,100.0
