retracement_bin,count,percentage
0–10%,239,68.48137535816619
10–20%,57,16.332378223495702
20–30%,26,7.4498567335243555
30–40%,5,1.4326647564469914
40–50%,8,2.292263610315186
50–60%,6,1.7191977077363898
60–70%,3,0.8595988538681949
70–80%,0,0.0
80–90%,1,0.28653295128939826
90–100%,2,0.5730659025787965
