percentile,retracement_fraction,retracement_percent
50.0,0.0454878943507576,4.54878943507576
60.0,0.062030513420691116,6.203051342069112
70.0,0.08581533861253854,8.581533861253854
75.0,0.1002249437641654,10.022494376416539
80.0,0.11695825305546098,11.695825305546098
85.0,0.15238054867021164,15.238054867021164
90.0,0.2045724935590711,20.45724935590711
95.0,0.3188733289591365,31.88733289591365
97.5,0.4647008561667043,46.47008561667043
99.0,0.6276320393509962,62.76320393509962
100.0,1.0,100.0
