range_type,direction,observations,median,p75,p90,p95
ADR,LONG,86,84.1686922172544,100.0,100.0,100.0
ADR,SHORT,51,67.81046053726251,100.0,100.0,100.0
ODR,LONG,77,74.30928959040915,100.0,100.0,100.0
ODR,SHORT,71,69.8495854202933,100.0,100.0,100.0
RDR,LONG,93,74.39617204067072,100.0,100.0,100.0
RDR,SHORT,67,100.0,100.0,100.0,100.0
