range_type,extreme_type,observations,median_retracement,mean_retracement,max_retracement,median_percent,mean_percent,max_percent
ADR,HOD,111,1.0,0.5666971093738747,1.0,100.0,56.66971093738747,100.0
ADR,LOD,84,1.0,0.6019920336986472,1.0,100.0,60.19920336986472,100.0
ODR,HOD,97,0.6479749905373395,0.511653801231066,1.0,64.79749905373396,51.165380123106594,100.0
ODR,LOD,101,1.0,0.5523170228164123,1.0,100.0,55.231702281641226,100.0
RDR,HOD,108,0.1780514045114327,0.4086572427187974,1.0,17.80514045114327,40.86572427187974,100.0
RDR,LOD,89,0.4495969001937312,0.5023325328846898,1.0,44.95969001937312,50.23325328846898,100.0
