percentile,maximum_retracement_percent
25.0,25.48116465694114
40.0,33.98916320115013
50.0,40.43211860067035
60.0,50.51808290016877
70.0,61.01037316177239
75.0,65.12656517336521
80.0,68.39233313335629
85.0,72.45980259967841
90.0,82.71781101240376
95.0,91.0998217660724
97.5,94.85081703202243
99.0,95.74219407392721
