retracement_bin,count,percentage
0–<10%,164,36.853932584269664
10–<20%,73,16.40449438202247
20–<30%,29,6.51685393258427
30–<40%,22,4.943820224719101
40–<50%,12,2.696629213483146
50–<60%,17,3.8202247191011236
60–<70%,9,2.0224719101123596
70–<80%,4,0.8988764044943821
80–<90%,5,1.1235955056179776
90–100%,110,24.719101123595504
