retracement_bin,count,percentage
0–10%,503,74.73997028231798
10–20%,101,15.0074294205052
20–30%,34,5.052005943536404
30–40%,11,1.634472511144131
40–50%,9,1.337295690936107
50–60%,7,1.040118870728083
60–70%,3,0.44576523031203563
70–80%,0,0.0
80–90%,1,0.1485884101040119
90–100%,4,0.5943536404160475
