instrument,trading_date,day_of_week,range_type,dr_high,dr_low,dr_range,idr_high,idr_low,idr_range,confirmed,direction,confirmation_time,confirmation_price,dr_rule_true,retraced_into_dr,outside_dr_closed,mean_sd_up,mean_sd_down,extension_sd,extension_price,extension_time,max_retracement_sd,max_retracement_price,max_retracement_time,reached_05_sd,time_05_sd,retracement_before_extreme_sd,retracement_after_05_sd,first_retracement_occurred,first_retracement_price,first_retracement_time,first_retracement_exact
ES,2019-01-02,Wednesday,ADR,2518.569,2516.57,1.9989999999997963,2519.069,2516.07,2.9989999999997963,True,SHORT,2019-01-01 20:35:00,2515.57,True,False,,0.0,20.2601,20.2601,2476.07,2019-01-02 00:58:00,0.0,2515.77,2019-01-01 20:40:00,True,2019-01-01 20:40:00,0.0,0.0,False,,,
ES,2019-01-02,Wednesday,ODR,2475.069,2452.27,22.798999999999978,2475.77,2451.569,24.201000000000022,True,LONG,2019-01-02 07:20:00,2476.57,True,True,False,0.0877,0.0,0.0877,2477.069,2019-01-02 07:27:00,0.6272,2460.769,2019-01-02 08:28:00,False,,0.0,,True,2474.569,2019-01-02 07:30:00,0.0219
ES,2019-01-02,Wednesday,RDR,2490.87,2467.07,23.799999999999727,2493.87,2466.269,27.601000000000113,True,LONG,2019-01-02 10:50:00,2496.97,True,False,,1.2353,0.0,1.2353,2520.27,2019-01-02 13:59:00,0.0,2493.47,2019-01-02 11:02:00,True,2019-01-02 11:06:00,0.0,0.0,False,,,
ES,2019-01-03,Thursday,ADR,2476.87,2473.87,3.0,2477.67,2472.87,4.800000000000182,True,LONG,2019-01-02 20:45:00,2479.87,False,True,False,2.3333,3.8333,2.3333,2483.87,2019-01-02 21:41:00,4.8333,2462.37,2019-01-03 01:15:00,True,2019-01-02 20:50:00,0.0,4.8333,True,2476.17,2019-01-02 21:56:00,0.2333
ES,2019-01-03,Thursday,ODR,2479.17,2471.87,7.300000000000182,2479.67,2471.17,8.5,True,SHORT,2019-01-03 04:55:00,2469.37,False,True,False,1.2329,0.9589,0.9589,2464.87,2019-01-03 06:40:00,2.2329,2488.17,2019-01-03 08:19:00,True,2019-01-03 05:04:00,0.1918,2.2329,True,2472.87,2019-01-03 05:47:00,0.137
ES,2019-01-03,Thursday,RDR,2489.67,2458.17,31.5,2492.27,2454.47,37.80000000000018,True,SHORT,2019-01-03 10:35:00,2451.669,True,True,True,0.0,0.473,0.473,2443.27,2019-01-03 15:59:00,0.9683,2488.67,2019-01-03 11:44:00,False,,0.9683,,True,2460.17,2019-01-03 10:56:00,0.0635
ES,2019-01-04,Friday,ADR,2444.07,2440.069,4.001000000000204,2444.27,2438.77,5.5,True,LONG,2019-01-03 20:35:00,2446.57,True,False,,6.8733,0.0,6.8733,2471.57,2019-01-04 01:57:00,0.0,2445.07,2019-01-03 21:18:00,True,2019-01-03 20:40:00,0.0,0.0,False,,,
ES,2019-01-04,Friday,ODR,2475.77,2469.07,6.699999999999818,2476.97,2467.27,9.699999999999818,True,LONG,2019-01-04 04:25:00,2479.769,True,True,True,1.5672,0.0,1.5672,2486.27,2019-01-04 06:24:00,0.03,2475.569,2019-01-04 08:22:00,True,2019-01-04 04:30:00,0.0001,0.03,True,2475.769,2019-01-04 05:33:00,0.0001
ES,2019-01-04,Friday,RDR,2517.17,2481.67,35.5,2517.17,2478.67,38.5,True,LONG,2019-01-04 10:55:00,2517.37,True,True,True,0.5887,0.0,0.5887,2538.07,2019-01-04 13:09:00,0.2197,2509.369,2019-01-04 11:30:00,True,2019-01-04 13:05:00,0.2197,0.0,True,2514.87,2019-01-04 11:00:00,0.0648
ES,2019-01-07,Monday,ADR,2549.469,2541.47,7.999000000000251,2550.37,2541.469,8.90099999999984,True,SHORT,2019-01-06 20:35:00,2540.77,True,True,True,0.0,1.2502,1.2502,2531.47,2019-01-07 01:12:00,0.125,2542.47,2019-01-06 21:02:00,True,2019-01-06 21:57:00,0.125,0.0,True,2541.769,2019-01-06 20:40:00,0.0374
ES,2019-01-07,Monday,ODR,2538.77,2530.769,8.001000000000204,2538.97,2530.469,8.500999999999749,True,SHORT,2019-01-07 04:25:00,2528.77,True,True,True,0.0,0.9999,0.9999,2522.769,2019-01-07 06:38:00,0.3126,2533.27,2019-01-07 08:09:00,True,2019-01-07 04:32:00,0.0,0.3126,True,2530.969,2019-01-07 07:19:00,0.025
ES,2019-01-07,Monday,RDR,2537.87,2525.369,12.500999999999749,2538.87,2523.57,15.299999999999727,True,LONG,2019-01-07 10:30:00,2544.07,True,False,,2.3118,0.0,2.3118,2566.77,2019-01-07 13:12:00,0.0,2540.069,2019-01-07 10:37:00,True,2019-01-07 10:35:00,0.0,0.0,False,,,
ES,2019-01-08,Tuesday,ADR,2557.569,2552.569,5.0,2558.07,2552.569,5.501000000000204,True,LONG,2019-01-07 21:35:00,2558.369,True,True,False,0.9002,0.0,0.9002,2562.07,2019-01-08 00:00:00,0.9,2553.069,2019-01-08 01:07:00,True,2019-01-07 21:40:00,0.1398,0.9,True,2556.87,2019-01-07 23:04:00,0.1398
ES,2019-01-08,Tuesday,ODR,2563.27,2553.87,9.400000000000091,2563.87,2552.869,11.000999999999749,True,LONG,2019-01-08 04:00:00,2564.87,True,True,True,0.8085,0.0,0.8085,2570.87,2019-01-08 07:04:00,0.4682,2558.869,2019-01-08 05:05:00,True,2019-01-08 06:51:00,0.4682,0.0746,True,2562.87,2019-01-08 04:24:00,0.0426
