instrument,trading_date,day_of_week,range_type,dr_high,dr_low,dr_range,idr_high,idr_low,idr_range,confirmed,direction,confirmation_time,confirmation_price,dr_rule_true,retraced_into_dr,outside_dr_closed,mean_sd_up,mean_sd_down,extension_sd,extension_price,extension_time,max_retracement_sd,max_retracement_price,max_retracement_time,reached_05_sd,time_05_sd,retracement_before_extreme_sd,retracement_after_05_sd,first_retracement_occurred,first_retracement_price,first_retracement_time,first_retracement_exact
ES,2021-01-04,Monday,ADR,3753.999,3748.237,5.761999999999716,3753.999,3745.751,8.247999999999593,True,LONG,2021-01-03 20:40:00,3754.242,True,True,True,1.0319,0.0,1.0319,3759.945,2021-01-04 01:48:00,0.2201,3752.731,2021-01-04 00:24:00,True,2021-01-03 21:08:00,0.2201,0.2201,True,3753.931,2021-01-03 20:45:00,0.0118
ES,2021-01-04,Monday,ODR,3772.751,3767.739,5.012000000000171,3773.751,3766.933,6.818000000000211,True,LONG,2021-01-04 04:15:00,3775.745,True,True,False,1.5962,0.0,1.5962,3780.751,2021-01-04 04:46:00,0.6606,3769.44,2021-01-04 08:26:00,True,2021-01-04 04:20:00,0.0,0.6606,True,3772.736,2021-01-04 07:06:00,0.003
ES,2021-01-04,Monday,RDR,3765.797,3735.833,29.963999999999942,3767.397,3733.831,33.5659999999998,True,SHORT,2021-01-04 10:30:00,3732.536,True,False,,0.0,2.493,2.493,3661.134,2021-01-04 12:15:00,0.0,3735.554,2021-01-04 10:43:00,True,2021-01-04 10:51:00,0.0,0.0,False,,,
ES,2021-01-05,Tuesday,ADR,3713.442,3704.452,8.989999999999782,3713.736,3703.931,9.804999999999836,True,SHORT,2021-01-04 22:45:00,3701.442,True,True,False,0.0397,1.0804,1.0804,3694.739,2021-01-04 23:17:00,0.5895,3709.752,2021-01-05 01:59:00,True,2021-01-04 22:57:00,0.0,0.5895,True,3704.499,2021-01-05 00:08:00,0.0052
ES,2021-01-05,Tuesday,ODR,3711.751,3688.431,23.320000000000164,3712.299,3688.236,24.063000000000102,False,,,,,,,0.0429,0.0,,,,,,,False,,,,False,,,
ES,2021-01-05,Tuesday,RDR,3722.233,3694.751,27.48199999999997,3722.74,3694.746,27.993999999999687,True,LONG,2021-01-05 14:00:00,3730.433,True,True,True,0.6153,0.0,0.6153,3739.142,2021-01-05 14:30:00,0.0219,3721.631,2021-01-05 15:40:00,True,2021-01-05 14:08:00,0.0,0.0219,True,3721.833,2021-01-05 15:31:00,0.0146
ES,2021-01-06,Wednesday,ADR,3742.037,3713.051,28.985999999999876,3742.599,3707.531,35.06800000000021,True,SHORT,2021-01-05 21:50:00,3701.539,True,True,False,0.0,0.6312,0.6312,3694.754,2021-01-05 23:03:00,0.0947,3715.797,2021-01-06 01:55:00,True,2021-01-05 22:04:00,0.0,0.0947,True,3713.299,2021-01-06 00:16:00,0.0086
ES,2021-01-06,Wednesday,ODR,3719.651,3698.142,21.509000000000015,3719.651,3695.533,24.117999999999938,True,LONG,2021-01-06 05:45:00,3720.251,True,True,False,0.3209,0.2048,0.3209,3726.554,2021-01-06 07:24:00,0.6469,3705.736,2021-01-06 06:22:00,False,,0.6469,,True,3719.054,2021-01-06 05:51:00,0.0278
ES,2021-01-06,Wednesday,RDR,3750.639,3706.342,44.297000000000025,3752.699,3704.139,48.559999999999945,True,LONG,2021-01-06 10:30:00,3757.699,True,True,False,0.7396,0.0,0.7396,3783.399,2021-01-06 13:15:00,0.192,3742.136,2021-01-06 15:52:00,True,2021-01-06 11:15:00,0.0,0.192,True,3749.848,2021-01-06 14:48:00,0.0179
ES,2021-01-07,Thursday,ADR,3771.042,3753.245,17.797000000000025,3772.84,3753.099,19.740999999999985,True,LONG,2021-01-06 22:05:00,3772.851,True,True,True,0.3817,0.0,0.3817,3777.836,2021-01-06 22:10:00,0.4493,3763.045,2021-01-07 00:15:00,False,,0.0,,True,3771.042,2021-01-06 22:15:00,0.0
ES,2021-01-07,Thursday,ODR,3775.897,3765.736,10.161000000000058,3776.899,3764.836,12.063000000000102,True,SHORT,2021-01-07 04:35:00,3764.099,True,True,False,0.0,1.0235,1.0235,3755.336,2021-01-07 06:00:00,0.577,3771.599,2021-01-07 08:11:00,True,2021-01-07 05:51:00,0.2574,0.577,True,3765.897,2021-01-07 04:56:00,0.0158
ES,2021-01-07,Thursday,RDR,3802.648,3773.851,28.797000000000025,3805.497,3771.933,33.56399999999985,True,LONG,2021-01-07 10:45:00,3807.454,True,True,False,0.3299,0.0,0.3299,3812.148,2021-01-07 15:54:00,0.2367,3795.833,2021-01-07 12:20:00,False,,0.2367,,True,3802.639,2021-01-07 11:10:00,0.0003
ES,2021-01-08,Friday,ADR,3812.351,3807.345,5.006000000000313,3812.399,3806.642,5.757000000000062,True,LONG,2021-01-07 20:30:00,3817.399,True,False,,2.3378,0.0,2.3378,3824.054,2021-01-08 01:12:00,0.0,3814.336,2021-01-07 23:30:00,True,2021-01-07 20:35:00,0.0,0.0,False,,,
ES,2021-01-08,Friday,ODR,3821.849,3814.645,7.204000000000178,3823.899,3812.899,11.0,True,SHORT,2021-01-08 04:00:00,3811.648,True,True,True,0.0,1.1538,1.1538,3806.333,2021-01-08 04:37:00,0.5144,3818.351,2021-01-08 07:17:00,True,2021-01-08 04:08:00,0.0,0.5144,True,3815.149,2021-01-08 04:55:00,0.07
ES,2021-01-08,Friday,RDR,3822.234,3801.739,20.49499999999989,3824.299,3800.936,23.36299999999983,True,SHORT,2021-01-08 13:15:00,3800.242,False,True,False,0.2299,0.9028,0.9028,3783.236,2021-01-08 13:44:00,1.2299,3826.945,2021-01-08 15:59:00,True,2021-01-08 13:23:00,0.0,1.2299,True,3802.254,2021-01-08 14:06:00,0.0251
ES,2021-01-11,Monday,ADR,3816.148,3812.448,3.700000000000273,3817.154,3811.654,5.5,True,SHORT,2021-01-10 20:35:00,3807.133,True,False,,0.0,4.0524,4.0524,3797.454,2021-01-11 01:13:00,0.0,3810.999,2021-01-10 20:52:00,True,2021-01-10 20:40:00,0.0,0.0,False,,,
