instrument,trading_date,day_of_week,range_type,dr_high,dr_low,dr_range,idr_high,idr_low,idr_range,confirmed,direction,confirmation_time,confirmation_price,dr_rule_true,retraced_into_dr,outside_dr_closed,mean_sd_up,mean_sd_down,extension_sd,extension_price,extension_time,max_retracement_sd,max_retracement_price,max_retracement_time,reached_05_sd,time_05_sd,retracement_before_extreme_sd,retracement_after_05_sd,first_retracement_occurred,first_retracement_price,first_retracement_time,first_retracement_exact
ES,2010-11-15,Monday,ADR,1198.75,1197.25,1.5,1198.75,1197.25,1.5,True,LONG,2010-11-14 20:30:00,1199.75,False,True,False,0.8333,1.3333,0.6667,1199.75,2010-11-14 20:37:00,2.3333,1195.25,2010-11-14 22:46:00,True,2010-11-14 20:35:00,0.0,2.3333,True,1198.75,2010-11-14 20:56:00,0.0
ES,2010-11-15,Monday,ODR,1196.0,1192.5,3.5,1196.5,1192.5,4.0,True,LONG,2010-11-15 04:40:00,1196.75,True,True,True,1.7857,0.0,1.7857,1202.25,2010-11-15 08:29:00,0.1429,1195.5,2010-11-15 06:01:00,True,2010-11-15 05:06:00,0.1429,0.1429,True,1196.0,2010-11-15 05:47:00,0.0
ES,2010-11-15,Monday,RDR,1202.75,1197.75,5.0,1203.0,1197.25,5.75,True,LONG,2010-11-15 11:40:00,1204.0,False,True,False,0.55,0.6,0.55,1205.5,2010-11-15 11:49:00,1.6,1194.75,2010-11-15 15:53:00,True,2010-11-15 11:48:00,0.0,1.6,True,1202.5,2010-11-15 12:11:00,0.05
ES,2010-11-16,Tuesday,ADR,1193.0,1190.75,2.25,1193.25,1190.25,3.0,True,SHORT,2010-11-15 21:25:00,1189.25,False,True,True,0.6667,1.0,1.0,1188.5,2010-11-16 01:54:00,1.6667,1194.5,2010-11-16 00:13:00,True,2010-11-15 21:31:00,1.6667,1.6667,True,1190.75,2010-11-15 21:47:00,0.0
ES,2010-11-16,Tuesday,ODR,1192.25,1189.0,3.25,1192.25,1188.75,3.5,True,SHORT,2010-11-16 05:40:00,1188.5,True,True,False,0.0,0.7692,0.7692,1186.5,2010-11-16 06:29:00,0.6923,1191.25,2010-11-16 08:18:00,True,2010-11-16 06:14:00,0.1538,0.6923,True,1189.0,2010-11-16 05:53:00,0.0
ES,2010-11-16,Tuesday,RDR,1189.0,1184.5,4.5,1189.75,1184.5,5.25,True,SHORT,2010-11-16 10:30:00,1182.75,True,False,,0.0,3.0556,3.0556,1170.75,2010-11-16 15:17:00,0.0,1183.25,2010-11-16 10:36:00,True,2010-11-16 10:35:00,0.0,0.0,False,,,
ES,2010-11-17,Wednesday,ADR,1178.75,1177.5,1.25,1178.75,1177.5,1.25,True,LONG,2010-11-16 21:10:00,1179.0,False,True,False,0.6,0.2,0.6,1179.5,2010-11-17 00:01:00,1.2,1177.25,2010-11-17 01:54:00,True,2010-11-17 00:01:00,0.4,1.2,True,1178.75,2010-11-16 21:15:00,0.0
ES,2010-11-17,Wednesday,ODR,1176.75,1173.5,3.25,1176.75,1173.25,3.5,True,LONG,2010-11-17 04:05:00,1177.25,True,True,True,1.2308,0.0,1.2308,1180.75,2010-11-17 05:52:00,0.4615,1175.25,2010-11-17 07:29:00,True,2010-11-17 04:16:00,0.0,0.4615,True,1176.75,2010-11-17 06:54:00,0.0
ES,2010-11-17,Wednesday,RDR,1181.0,1174.5,6.5,1181.5,1173.5,8.0,False,,,,,,,0.1154,0.1154,,,,,,,False,,,,False,,,
ES,2010-11-18,Thursday,ODR,1190.25,1185.75,4.5,1190.25,1185.25,5.0,True,LONG,2010-11-18 06:35:00,1190.75,True,True,False,0.2778,0.0,0.2778,1191.5,2010-11-18 06:56:00,0.2778,1189.0,2010-11-18 07:45:00,False,,0.0,,True,1190.25,2010-11-18 07:14:00,0.0
ES,2010-11-18,Thursday,RDR,1197.75,1188.75,9.0,1198.5,1188.5,10.0,False,,,,,,,0.1111,0.0,,,,,,,False,,,,False,,,
ES,2010-11-19,Friday,ODR,1198.5,1196.0,2.5,1198.75,1195.75,3.0,True,SHORT,2010-11-19 04:20:00,1195.0,True,False,,0.0,2.2,2.2,1190.5,2010-11-19 07:39:00,0.0,1195.75,2010-11-19 04:44:00,True,2010-11-19 04:35:00,0.0,0.0,False,,,
ES,2010-11-19,Friday,RDR,1193.75,1188.25,5.5,1194.0,1187.5,6.5,True,LONG,2010-11-19 11:40:00,1194.25,True,True,True,0.8636,0.0,0.8636,1198.5,2010-11-19 15:59:00,0.2273,1192.5,2010-11-19 12:30:00,True,2010-11-19 14:05:00,0.2273,0.0,True,1193.75,2010-11-19 11:48:00,0.0
