instrument,trading_date,day_of_week,range_type,dr_high,dr_low,dr_range,idr_high,idr_low,idr_range,confirmed,direction,confirmation_time,confirmation_price,dr_rule_true,retraced_into_dr,outside_dr_closed,mean_sd_up,mean_sd_down,extension_sd,extension_price,extension_time,max_retracement_sd,max_retracement_price,max_retracement_time,reached_05_sd,time_05_sd,retracement_before_extreme_sd,retracement_after_05_sd,first_retracement_occurred,first_retracement_price,first_retracement_time,first_retracement_exact
ES,2020-01-02,Thursday,ADR,3238.337,3235.4,2.936999999999898,3238.84,3234.534,4.30600000000004,True,LONG,2020-01-01 22:20:00,3238.849,True,True,True,0.3466,0.0,0.3466,3239.355,2020-01-01 22:53:00,0.4436,3237.034,2020-01-02 00:31:00,False,,0.0,,True,3238.043,2020-01-01 23:54:00,0.1001
ES,2020-01-02,Thursday,ODR,3245.84,3241.355,4.485000000000127,3246.355,3240.837,5.518000000000029,True,LONG,2020-01-02 04:05:00,3246.834,True,True,True,0.7837,0.0,0.7837,3249.355,2020-01-02 05:46:00,0.0007,3245.837,2020-01-02 06:48:00,True,2020-01-02 04:41:00,0.0,0.0007,True,3245.84,2020-01-02 06:45:00,0.0
ES,2020-01-02,Thursday,RDR,3248.443,3236.455,11.988000000000284,3249.44,3235.94,13.5,True,LONG,2020-01-02 15:30:00,3249.934,True,False,,0.751,0.1099,0.751,3257.446,2020-01-02 15:59:00,0.0,3249.437,2020-01-02 15:36:00,True,2020-01-02 15:54:00,0.0,0.0,False,,,
ES,2020-01-03,Friday,ADR,3261.355,3259.6,1.7550000000001091,3261.6,3259.6,2.0,True,SHORT,2020-01-02 20:35:00,3258.855,True,False,,0.0,17.1197,17.1197,3229.555,2020-01-03 00:10:00,0.0,3258.855,2020-01-02 20:40:00,True,2020-01-02 20:40:00,0.0,0.0,False,,,
ES,2020-01-03,Friday,ODR,3229.4,3225.834,3.5660000000002583,3229.834,3221.549,8.284999999999854,True,SHORT,2020-01-03 04:40:00,3221.052,False,True,False,0.408,5.6085,5.6085,3205.834,2020-01-03 05:57:00,1.408,3230.855,2020-01-03 08:23:00,True,2020-01-03 04:45:00,0.0,1.408,True,3225.846,2020-01-03 08:04:00,0.0034
ES,2020-01-03,Friday,RDR,3237.934,3220.037,17.89700000000039,3238.5,3219.84,18.659999999999854,True,LONG,2020-01-03 10:40:00,3238.955,True,True,False,0.4482,0.0,0.4482,3245.955,2020-01-03 12:51:00,0.4015,3230.749,2020-01-03 11:10:00,False,,0.4015,,True,3237.243,2020-01-03 10:49:00,0.0386
ES,2020-01-06,Monday,ADR,3223.634,3220.643,2.9909999999999854,3224.149,3220.134,4.014999999999873,True,SHORT,2020-01-05 20:45:00,3219.849,False,True,False,2.0281,0.6048,0.6048,3218.834,2020-01-05 20:54:00,3.0281,3229.7,2020-01-05 23:29:00,True,2020-01-05 20:54:00,0.0,3.0281,True,3220.846,2020-01-05 21:02:00,0.0679
ES,2020-01-06,Monday,ODR,3224.849,3208.834,16.015000000000327,3225.4,3208.646,16.753999999999905,False,,,,,,,0.0,0.0125,,,,,,,False,,,,False,,,
ES,2020-01-06,Monday,RDR,3230.5,3214.4,16.09999999999991,3230.934,3213.243,17.69100000000026,True,LONG,2020-01-06 10:40:00,3233.355,True,False,,1.0341,0.0,1.0341,3247.149,2020-01-06 15:59:00,0.0,3230.534,2020-01-06 11:02:00,True,2020-01-06 14:09:00,0.0,0.0,False,,,
ES,2020-01-07,Tuesday,ADR,3247.437,3244.243,3.19399999999996,3247.946,3243.949,3.9969999999998436,True,LONG,2020-01-06 20:40:00,3248.452,True,True,True,1.6791,0.0,1.6791,3252.8,2020-01-06 23:26:00,0.6205,3245.455,2020-01-07 01:22:00,True,2020-01-06 21:03:00,0.0,0.6205,True,3247.437,2020-01-07 01:18:00,0.0
